,number,,date,,
tmp2,43559,624,2014-08-19,,
tmp2,40962,625,2014-08-20,,
tmp2,40962,626,2014-08-21,,
tmp2,39852,627,2014-08-22,,
tmp2,41942,628,2014-08-23,,
tmp2,42132,629,2014-08-24,,
tmp2,41614,630,2014-08-25,,
tmp2,41170,631,2014-08-26,,
tmp2,42404,632,2014-08-27,,
tmp2,38977,633,2014-08-28,,
tmp2,36388,634,2014-08-29,,
tmp2,33725,635,2014-08-30,,
tmp2,31867,636,2014-08-31,,
tmp2,32079,637,2014-09-01,,
tmp2,28802,638,2014-09-02,,
tmp2,24800,639,2014-09-03,,
tmp2,43668,640,2014-09-05,,
tmp2,50981,641,2014-09-06,,
tmp2,40519,642,2014-09-07,,
tmp2,35427,643,2014-09-08,,
tmp2,35014,644,2014-09-09,,
tmp2,35491,645,2014-09-10,,
tmp2,34582,646,2014-09-11,,
tmp2,33415,647,2014-09-12,,
tmp2,32712,648,2014-09-13,,
tmp2,38940,649,2014-09-14,,
tmp2,38221,650,2014-09-15,,
tmp2,33334,651,2014-09-16,,
tmp2,32902,652,2014-09-17,,
tmp2,37340,653,2014-09-18,,
tmp2,40964,654,2014-09-19,,
tmp2,38722,655,2014-09-20,,
tmp2,40152,656,2014-09-21,,
tmp2,34431,657,2014-09-22,,
tmp2,35607,658,2014-09-23,,
tmp2,29806,659,2014-09-24,,
tmp2,44220,660,2014-09-25,,
tmp2,39416,661,2014-09-26,,
tmp2,39072,662,2014-09-27,,
tmp2,40646,663,2014-09-28,,
tmp2,34984,664,2014-09-29,,
tmp2,33193,665,2014-09-30,,
tmp2,44089,666,2014-10-01,,
tmp2,47939,667,2014-10-02,,
tmp2,47766,668,2014-10-03,,
tmp2,35824,669,2014-10-04,,
tmp2,40675,670,2014-10-05,,
tmp2,39678,671,2014-10-06,,
tmp2,37197,672,2014-10-07,,
tmp2,41609,673,2014-10-08,,
tmp2,47278,674,2014-10-09,,
tmp2,32324,675,2014-10-10,,
tmp2,30512,676,2014-10-11,,
tmp2,34008,677,2014-10-12,,
tmp2,34992,678,2014-10-13,,
tmp2,32556,679,2014-10-14,,
tmp2,38941,680,2014-10-15,,
tmp2,38573,681,2014-10-16,,
tmp2,42520,682,2014-10-17,,
tmp2,39383,683,2014-10-18,,
tmp2,41794,684,2014-10-19,,
tmp2,39830,685,2014-10-20,,
tmp2,35034,686,2014-10-21,,
tmp2,39434,687,2014-10-22,,
tmp2,37763,688,2014-10-23,,
tmp2,40992,689,2014-10-24,,
tmp2,40110,690,2014-10-25,,
tmp2,42526,691,2014-10-26,,
tmp2,36138,692,2014-10-27,,
tmp2,37073,693,2014-10-28,,
tmp2,35754,694,2014-10-29,,
tmp2,35721,695,2014-10-30,,
tmp2,38327,696,2014-10-31,,
tmp2,35206,697,2014-11-01,,
tmp2,33362,698,2014-11-02,,
tmp2,33962,699,2014-11-03,,
tmp2,35064,700,2014-11-04,,
tmp2,33533,701,2014-11-05,dddd,
tmp2,37282,702,2014-11-06,,
tmp2,39136,703,2014-11-07,,
tmp2,40102,704,2014-11-08,,
tmp2,34802,705,2014-11-09,,
tmp2,32408,706,2014-11-10,,
tmp2,28612,707,2014-11-11,,
tmp2,33272,708,2014-11-12,,
tmp2,35522,709,2014-11-13,,
tmp2,37681,710,2014-11-14,,
tmp2,36210,711,2014-11-15,,
tmp2,35363,712,2014-11-16,,
tmp2,32421,713,2014-11-17,,
tmp2,28181,714,2014-11-18,,
tmp2,30116,715,2014-11-19,,
tmp2,37140,716,2014-11-20,,
tmp2,35105,717,2014-11-21,,
tmp2,32550,718,2014-11-22,,
tmp2,30439,719,2014-11-23,,
tmp2,31147,720,2014-11-24,,
tmp2,NA,721,NA,,
tmp2,NA,722,NA,,
tmp2,25563,723,2014-11-25,,
tmp2,27231,724,2014-11-26,,
tmp2,30021,725,2014-11-27,,
tmp2,35962,726,2014-11-28,,
tmp2,29724,727,2014-11-29,,
tmp2,25254,728,2014-11-30,,
tmp2,26255,729,2014-12-01,,
tmp2,21205,730,2014-12-02,,
tmp2,26617,731,2014-12-03,,
tmp2,26706,732,2014-12-04,,
tmp2,28452,733,2014-12-05,,
tmp2,29100,734,2014-12-06,,
tmp2,25783,735,2014-12-07,,
tmp2,25329,736,2014-12-08,,
tmp2,21680,737,2014-12-09,,
tmp2,24817,738,2014-12-10,,
tmp2,26145,739,2014-12-11,,
tmp2,31940,740,2014-12-12,,
